"NAME","POPULATION","POPULATION_GROWTH","INFANT_MORTALITY"
"Albania","3249136","1.34","49.2"
"Greece","10538594","0.42","7.4"
"Macedonia","2104035","0.46","29.7"
"Serbia and Montenegro","10614558",,
"Andorra","72766","2.96","2.2"
"France","58317450","0.34","5.3"
"Spain","39181114","0.16","6.3"
"Austria","8023244","0.41","6.2"
"Czech Republic","10321120","-0.03","8.4"
"Germany","83536115","0.67","6.0"
"Hungary","10002541","-0.68","12.3"
"Italy","57460274","0.13","6.9"
"Liechtenstein","31122","1.08","5.3"
"Slovakia","5374362","0.34","10.7"
"Slovenia","1951443","-0.27","7.3"
"Switzerland","7207060","0.59","5.4"
"Belarus","10415973","0.2","13.4"
"Latvia","2468982","-1.39","21.2"
"Lithuania","3646041","-0.35","17.0"
"Poland","38642565","0.14","12.4"
"Ukraine","50864009","-0.4","22.5"
"Russia","148178487","-0.07","24.7"
"Belgium","10170241","0.33","6.4"
"Luxembourg","415870","1.57","4.7"
"Netherlands","15568034","0.56","4.9"
"Bosnia and Herzegovina","2656240","-2.84","43.2"
"Croatia","5004112","0.58","10.2"
"Bulgaria","8612757","0.46","15.7"
"Romania","21657162","-1.21","23.2"
"Turkey","62484478","1.67","43.2"
"Denmark","5249632","0.38","4.8"
"Estonia","1459428","-1.13","17.4"
"Finland","5105230","0.1","4.9"
"Norway","4383807","0.48","4.9"
"Sweden","8900954","0.56","4.5"
"Monaco","31719","0.59","6.9"
"Holy See","840",,
"Iceland","270292","0.83","4.3"
"Ireland","3566833","-0.22","6.4"
"San Marino","24521","0.82","5.5"
"Malta","375576","1.01","6.9"
"Moldova","4463847","0.18","47.6"
"Portugal","9865114","0.02","7.6"
"United Kingdom","58489975","0.22","6.4"
"Afghanistan","22664136","4.78","149.7"
"China","1210004956","0.98","39.6"
"Iran","66094264","2.21","52.7"
"Pakistan","129275660","2.24","96.8"
"Tajikistan","5916373","1.54","113.1"
"Turkmenistan","4149283","1.82","81.6"
"Uzbekistan","23418381","1.87","79.6"
"Armenia","3463574","0.02","38.9"
"Georgia","5219810","-1.02","22.5"
